Gene	R2	R4	R6	R8	D2	D4	D6	D8	Path
G1	8.266946834	7.723485972	7.579504497	7.484136808	7.687461401	7.744529956	7.632630392	7.611826066	P1
G2	7.599278902	7.613142119	7.442863694	7.528455291	7.477603157	7.718867475	7.506700358	8.413098277	P1
G3	9.880414152	9.987953501	10.01405675	10.06759809	9.599299246	9.813735632	9.648739758	9.747597894	P1
G4	7.85138805	7.700578072	7.728672056	7.728672056	8.034128128	7.865267048	7.691624249	7.981255639	P1
G5	9.177939365	9.181055261	8.938272907	9.055596627	10.76037953	11.00578234	10.73506955	10.87815309	P1
G6	7.661701178	7.879370131	7.792296195	7.658848222	7.847288166	7.585031028	7.768256815	7.5207144	P1
G7	7.900810694	8.136078172	8.028265943	8.055676575	8.399604522	7.81747585	8.147414019	7.904003604	P1
G8	8.526922433	8.908027598	8.53215594	8.654348146	8.303293134	8.024485388	8.153490716	8.11437199	P1
G9	8.768352547	9.26348156	8.900754897	8.932937559	7.802396124	8.062292804	8.016737146	8.002455609	P1
G10	7.991680654	8.111754796	7.86907472	8.075193759	7.80514871	8.303551623	8.271936112	8.615982319	P1
G11	8.037979416	8.037979416	8.594922194	8.446823808	10.34995147	9.604817653	10.57861695	10.44830305	P1
G12	8.053175474	8.09389626	8.112545925	8.038556296	8.970390318	8.399604522	9.044254865	8.440644512	P1
G13	7.327376735	7.496786145	7.441104894	7.452468063	7.567577533	7.674110694	7.77578207	7.747248517	P1
G14	7.866013213	7.611084472	7.576147572	7.711985541	7.738921527	7.782529244	7.708934874	7.723895764	P1
G15	7.433433548	7.651191154	7.571908459	7.679148327	7.49534012	7.648801632	7.605538719	7.755243331	P1
G16	8.311175515	8.564670963	8.368179455	8.410610391	10.3722369	9.51070197	10.41102415	9.712585372	P1
G17	8.44191535	8.483923422	8.666439705	8.390734378	9.640628377	9.425125673	9.97003572	9.451519737	P1
G18	7.873004994	7.908241698	8.142437858	8.239694588	8.241037871	8.186275588	8.289811713	8.482424898	P1
G19	7.782034219	7.882773754	7.887928674	8.157587303	7.666064885	7.714290632	7.749022088	7.661701178	P1
G20	7.508839355	7.659714938	7.63069742	7.659714938	7.547608441	7.832773307	7.717241213	7.659714938	P1
G21	8.965462088	9.436572384	8.80844448	9.046136059	7.862671616	8.448620846	8.17992935	8.274861581	P1
G22	7.782529244	7.697837112	7.645392712	7.917175874	8.268744498	8.622635815	8.481499314	8.435829353	P1
G23	8.284337673	7.922224734	7.953214383	8.191821229	7.882773754	7.805731312	7.825798509	7.97900855	P1
G24	9.752632082	9.50558566	9.881656726	9.683880074	10.16868693	9.904094344	9.802372494	9.85383193	P1
G25	7.846155304	7.938883879	8.065876178	8.05460456	7.778001018	7.910347349	7.611826066	7.886030771	P1
G26	8.859493143	9.134064097	8.818835555	8.848996097	8.358266381	8.460272259	8.650144833	8.666439705	P1
G27	8.475793738	9.002362241	8.824671287	8.996853109	9.325336086	9.119647086	9.094662409	9.10296901	P1
G28	8.05533105	7.585613557	7.795152903	7.780501502	7.966521031	8.096120039	8.077700999	8.047498108	P1
G29	11.02118965	11.07012082	10.83431052	11.13549242	10.87318764	11.87910384	11.87910384	12.07353769	P1
G30	7.543417907	7.394589889	7.476329127	7.594270746	7.782529244	7.86774145	7.736762537	7.787526142	P1
G31	8.132818712	7.792296195	7.69570138	7.782034219	7.872151755	7.745421182	7.6124116	7.764598615	P1
G32	11.40790312	11.29894684	11.1261524	11.12093008	10.27474028	10.0724977	10.88716916	10.77650007	P1
G33	11.54274144	11.38709203	11.5520993	11.32135724	10.59525452	10.50051419	10.67902236	10.773107	P1
G34	8.344423252	8.136642055	8.224874407	9.622272709	8.82780749	8.519009289	8.535525377	8.728918207	P1
G35	8.100425944	8.605894706	8.111754796	8.412303376	7.786215741	7.620286421	7.689563501	7.730495311	P1
G36	10.60383763	10.40262972	10.7542697	10.58644111	10.17792983	10.03780246	9.900826167	10.00728174	P1
