Gene	D1	D2	D3	D4	D5
Gene1	0.59	1.01	0.36	-1.25	-1.11
Gene2	-0.76	-1.42	-0.09	-0.93	-0.45
Gene3	-0.37	0.76	0.06	-1.31	0.94
Gene4	-0.19	1.59	-0.15	1.01	0.74
Gene5	1.45	0.26	0.46	-0.3	-0.59
Gene6	-1.24	-0.14	1.15	2.16	-2.72
Gene7	-0.36	-1.17	1.08	1.41	0.15
Gene8	-1.51	-0.44	-1.28	-0.63	-0.08
Gene9	0.86	-0.75	-1.06	-0.39	-0.43
Gene10	0.94	-1.12	0.05	-1	0.68
Gene11	-0.65	-1.13	0.7	1.06	0.81
Gene12	0.18	1.39	-0.19	1.37	0.31
Gene13	-2.62	0.34	-1.25	1.6	-0.06
Gene14	1.24	0.59	0.63	-0.92	-0.51
Gene15	1.08	2.39	0.27	0.63	0.7
Gene16	0.87	-0.92	0.25	0.3	-0.39
Gene17	-0.75	0.28	0.02	1.23	-0.93
Gene18	0.86	1.56	0.08	0.01	-1.86
Gene19	1.19	0.64	0.41	-1.58	-0.36
Gene20	-0.66	-0.5	-0.73	1.42	-0.25
