Gene	Annotation	Accession
G1	heat shock 90kDa protein 1, beta /// heat shock 90kDa protein 1, beta	AF275719
G2	squamous cell carcinoma antigen recognised by T cells 3 /// squamous cell carcinoma antigen recognised by T cells 3	AI656011
G3	heterogeneous nuclear ribonucleoprotein M /// heterogeneous nuclear ribonucleoprotein M	AF061832
G4	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa) /// heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	M94630
G5	tryptophanyl-tRNA synthetase	NM_004184
G6	splicing factor, arginine/serine-rich 11	NM_004768
G7	heat shock 70kDa protein 9B (mortalin-2)	AA927701
G8	hexokinase 1	NM_000188
G9	splicing factor, arginine/serine-rich 2	BE866585
G10	splicing factor, arginine/serine-rich 2	NM_003016
G11	heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B	NM_005345
G12	seryl-tRNA synthetase	NM_006513
G13	RAB11A, member RAS oncogene family	NM_004663
G14	ras homolog gene family, member C	NM_005167
G15	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	NM_004593
G16	fusion (involved in t(12;16) in malignant liposarcoma)	NM_004960
G17	actin, alpha 2, smooth muscle, aorta	NM_001613
G18	eukaryotic translation initiation factor 5B	BG261322
G19	eukaryotic translation initiation factor 5B	AB018284
G20	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	NM_002070
G21	heterogeneous nuclear ribonucleoprotein H2 (H)	NM_019597
G22	Sjogren syndrome antigen B (autoantigen La)	BG532929
G23	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	NM_006496
G24	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	AF061337
G25	chaperonin containing TCP1, subunit 6A (zeta 1)	NM_001762
G26	DEAH (Asp-Glu-Ala-His) box polypeptide 15	AF279891
G27	glutathione synthetase	NM_000178
G28	Ras homolog enriched in brain	AW138374
G29	nuclear cap binding protein subunit 2, 20kDa	NM_007362
G30	poly(A) binding protein, nuclear 1	BF675004
G31	poly(A) binding protein, nuclear 1	NM_004643
G32	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	NM_005804
G33	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)	NM_005066
G34	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	NM_005496
G35	arsenate resistance protein ARS2	BE646076
G36	splicing factor, arginine/serine-rich 4	NM_005626
G37	proteasome (prosome, macropain) 26S subunit, ATPase, 6	NM_002806
G38	serum/glucocorticoid regulated kinase	NM_005627
G39	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	M69040
G40	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	NM_006739
G41	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	NM_005915
G42	guanine nucleotide binding protein-like 2 (nucleolar)	NM_013285
G43	heterogeneous nuclear ribonucleoprotein D-like	NM_005463
G44	spen homolog, transcriptional regulator (Drosophila)	AL524033
G45	v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)	NM_002881
G46	spastic paraplegia 7, paraplegin (pure and complicated autosomal recessive)	NM_003119
G47	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	AA156948
G48	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	AB011108
G49	ADP-ribosylation factor-like 7	AW450363
G50	ADP-ribosylation factor-like 7	BG435404
G51	ADP-ribosylation factor-like 7	BC001051
G52	polo-like kinase 1 (Drosophila)	NM_005030
G53	tribbles homolog 1 (Drosophila)	NM_025195
G54	dynamin 2	NM_004945
G55	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	NM_000593
G56	torsin family 1, member A (torsin A)	NM_000113
G57	limkain b1	NM_019081
G58	N-ethylmaleimide-sensitive factor	NM_006178
G59	TIA1 cytotoxic granule-associated RNA binding protein-like 1	BF432532
G60	DEAH (Asp-Glu-Ala-His) box polypeptide 9	NM_001357
G61	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	NM_004566
G62	cleavage and polyadenylation specific factor 6, 68kDa	NM_007007
G63	dehydrogenase/reductase (SDR family) member 3	NM_004753
G64	myosin, light polypeptide kinase /// myosin, light polypeptide kinase	NM_005965
G65	stress 70 protein chaperone, microsome-associated, 60kDa	NM_006948
G66	heat shock 70kDa protein 1B	NM_005346
G67	adenylate kinase 1	BC001116
G68	tousled-like kinase 1	NM_012290
G69	pyridoxal (pyridoxine, vitamin B6) kinase	NM_003681
G70	AXL receptor tyrosine kinase	NM_021913
G71	serine/threonine kinase 17a (apoptosis-inducing)	AW194730
G72	serine/threonine kinase 17a (apoptosis-inducing)	NM_004760
G73	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	AI539710
G74	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	NM_004563
G75	splicing factor, arginine/serine-rich 3	NM_003017
G76	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	NM_006482
G77	3-phosphoadenosine 5-phosphosulfate synthase 2	AW299958
G78	3-phosphoadenosine 5-phosphosulfate synthase 2	NM_004670
G79	3-phosphoadenosine 5-phosphosulfate synthase 2	AF074331
G80	myosin VI	AA877789
G81	myosin VI	NM_004999
G82	origin recognition complex, subunit 4-like (yeast)	NM_002552
G83	ribosomal protein S6 kinase, 90kDa, polypeptide 1	NM_002953
G84	EPH receptor A2	NM_004431
G85	ATP-binding cassette, sub-family A (ABC1), member 1	NM_005502
G86	ATP-binding cassette, sub-family A (ABC1), member 1	AF285167
G87	insulin-like growth factor 1 receptor	H05812
G88	peroxisome proliferative activated receptor, gamma, coactivator-related 1	NM_015062
G89	IGF-II mRNA-binding protein 3	NM_006547
G90	mitogen-activated protein kinase kinase kinase 5	NM_005923
G91	ribosomal protein S6 kinase, 90kDa, polypeptide 3	AA906056
G92	propionyl Coenzyme A carboxylase, alpha polypeptide	NM_000282
G93	5-nucleotidase, ecto (CD73)	NM_002526
G94	CDC6 cell division cycle 6 homolog (S. cerevisiae)	U77949
G95	CDC6 cell division cycle 6 homolog (S. cerevisiae)	NM_001254
G96	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	W80678
G97	centaurin, gamma 2	NM_014914
G98	CUG triplet repeat, RNA binding protein 1	NM_006560
G99	tubulin, beta 2	NM_001069
G100	KIAA0999 protein	AA044154
G101	ribosomal protein S6 kinase, 70kDa, polypeptide 1	NM_003161
G102	RNA binding motif protein 14	NM_006328
G103	chromodomain helicase DNA binding protein 1	NM_001270
G104	pim-2 oncogene	NM_006875
G105	phenylalanine-tRNA synthetase 2 (mitochondrial)	NM_006567
G106	FUS interacting protein (serine/arginine-rich) 1	NM_021993
G107	ATP-binding cassette, sub-family A (ABC1), member 3	NM_001089
G108	galactokinase 1	BG474736
G109	calcium/calmodulin-dependent protein kinase I	NM_003656
G110	G protein-coupled receptor kinase 5	NM_005308
G111	kinesin family member 11	NM_004523
G112	eukaryotic translation elongation factor 1 alpha 2	NM_001958
G113	RAB40B, member RAS oncogene family	NM_006822
G114	ATP-binding cassette, sub-family G (WHITE), member 1	NM_004915
G115	NUAK family, SNF1-like kinase, 1	NM_014840
G116	ribosomal protein S6 kinase, 90kDa, polypeptide 5	AF074393
G117	Cyclin-dependent kinase 8	R59697
